GEOID,NAME,num,den,child_poverty_rate_pct
05023480204,Census Tract 4802.04; Cleburne County; Arkansas,55,211,26.066350710900473
05023480301,Census Tract 4803.01; Cleburne County; Arkansas,116,474,24.47257383966245
05023480302,Census Tract 4803.02; Cleburne County; Arkansas,97,562,17.259786476868328
05023480400,Census Tract 4804; Cleburne County; Arkansas,69,819,8.424908424908425
05023480501,Census Tract 4805.01; Cleburne County; Arkansas,166,630,26.349206349206348
05023480502,Census Tract 4805.02; Cleburne County; Arkansas,48,562,8.540925266903914
05025970100,Census Tract 9701; Cleveland County; Arkansas,246,889,27.67154105736783
05025970200,Census Tract 9702; Cleveland County; Arkansas,90,678,13.274336283185841
05027950100,Census Tract 9501; Columbia County; Arkansas,219,1279,17.12275215011728
05027950200,Census Tract 9502; Columbia County; Arkansas,247,643,38.41368584758943
05027950301,Census Tract 9503.01; Columbia County; Arkansas,21,169,12.42603550295858
05027950302,Census Tract 9503.02; Columbia County; Arkansas,296,533,55.53470919324578
05027950401,Census Tract 9504.01; Columbia County; Arkansas,61,748,8.155080213903743
05027950402,Census Tract 9504.02; Columbia County; Arkansas,20,321,6.230529595015576
05027950500,Census Tract 9505; Columbia County; Arkansas,864,1029,83.96501457725948
05029950100,Census Tract 9501; Conway County; Arkansas,286,889,32.17097862767154
05029950200,Census Tract 9502; Conway County; Arkansas,193,692,27.890173410404625
05029950300,Census Tract 9503; Conway County; Arkansas,421,1155,36.45021645021645
05029950400,Census Tract 9504; Conway County; Arkansas,311,824,37.74271844660194
05029950500,Census Tract 9505; Conway County; Arkansas,89,767,11.603650586701434
05029950600,Census Tract 9506; Conway County; Arkansas,101,328,30.79268292682927
05031000101,Census Tract 1.01; Craighead County; Arkansas,525,796,65.95477386934674
05031000102,Census Tract 1.02; Craighead County; Arkansas,356,936,38.034188034188034
05031000200,Census Tract 2; Craighead County; Arkansas,450,1170,38.46153846153846
05031000300,Census Tract 3; Craighead County; Arkansas,241,1370,17.59124087591241
05031000401,Census Tract 4.01; Craighead County; Arkansas,940,2014,46.67328699106256
05031000403,Census Tract 4.03; Craighead County; Arkansas,578,1078,53.6178107606679
05031000404,Census Tract 4.04; Craighead County; Arkansas,180,960,18.75
05031000501,Census Tract 5.01; Craighead County; Arkansas,493,2540,19.409448818897637
05031000502,Census Tract 5.02; Craighead County; Arkansas,465,1218,38.17733990147783
05031000601,Census Tract 6.01; Craighead County; Arkansas,949,2087,45.47196933397221
05031000602,Census Tract 6.02; Craighead County; Arkansas,686,889,77.16535433070867
05031000701,Census Tract 7.01; Craighead County; Arkansas,121,1052,11.50190114068441
05031000702,Census Tract 7.02; Craighead County; Arkansas,243,1268,19.16403785488959
05031000803,Census Tract 8.03; Craighead County; Arkansas,30,1466,2.0463847203274215
05031000804,Census Tract 8.04; Craighead County; Arkansas,148,675,21.925925925925927
05031000805,Census Tract 8.05; Craighead County; Arkansas,301,805,37.391304347826086
05031000806,Census Tract 8.06; Craighead County; Arkansas,17,1019,1.6683022571148185
05031000900,Census Tract 9; Craighead County; Arkansas,274,1520,18.026315789473685
05031001000,Census Tract 10; Craighead County; Arkansas,231,918,25.163398692810457
05031001101,Census Tract 11.01; Craighead County; Arkansas,129,1262,10.221870047543582
05031001102,Census Tract 11.02; Craighead County; Arkansas,191,1359,14.054451802796173
05031001200,Census Tract 12; Craighead County; Arkansas,323,1373,23.525127458120902
05033020101,Census Tract 201.01; Crawford County; Arkansas,39,642,6.074766355140187
05033020102,Census Tract 201.02; Crawford County; Arkansas,385,543,70.902394106814
05033020204,Census Tract 202.04; Crawford County; Arkansas,117,1120,10.446428571428571
05033020205,Census Tract 202.05; Crawford County; Arkansas,740,1297,57.05474171164225
05033020206,Census Tract 202.06; Crawford County; Arkansas,113,279,40.50179211469534
05033020207,Census Tract 202.07; Crawford County; Arkansas,45,889,5.061867266591676
05033020208,Census Tract 202.08; Crawford County; Arkansas,75,865,8.670520231213873
05033020301,Census Tract 203.01; Crawford County; Arkansas,179,1038,17.24470134874759
05033020302,Census Tract 203.02; Crawford County; Arkansas,73,818,8.924205378973106
05033020401,Census Tract 204.01; Crawford County; Arkansas,235,1187,19.79780960404381
05033020402,Census Tract 204.02; Crawford County; Arkansas,96,789,12.167300380228136
05033020501,Census Tract 205.01; Crawford County; Arkansas,523,1057,49.47965941343425
05033020502,Census Tract 205.02; Crawford County; Arkansas,219,1236,17.718446601941746
05033020601,Census Tract 206.01; Crawford County; Arkansas,71,326,21.779141104294478
05033020602,Census Tract 206.02; Crawford County; Arkansas,902,2042,44.17238001958864
05035030101,Census Tract 301.01; Crittenden County; Arkansas,351,897,39.130434782608695
05035030102,Census Tract 301.02; Crittenden County; Arkansas,267,513,52.046783625730995
05035030201,Census Tract 302.01; Crittenden County; Arkansas,211,1004,21.01593625498008
05035030202,Census Tract 302.02; Crittenden County; Arkansas,22,590,3.7288135593220337
05035030301,Census Tract 303.01; Crittenden County; Arkansas,433,697,62.12338593974175
05035030302,Census Tract 303.02; Crittenden County; Arkansas,464,815,56.93251533742331
05035030503,Census Tract 305.03; Crittenden County; Arkansas,307,604,50.82781456953642
05035030601,Census Tract 306.01; Crittenden County; Arkansas,88,123,71.54471544715447
05035030602,Census Tract 306.02; Crittenden County; Arkansas,394,1014,38.8560157790927
05035030701,Census Tract 307.01; Crittenden County; Arkansas,45,319,14.106583072100314
05035030702,Census Tract 307.02; Crittenden County; Arkansas,205,333,61.56156156156156
05035030703,Census Tract 307.03; Crittenden County; Arkansas,84,196,42.857142857142854
05035030803,Census Tract 308.03; Crittenden County; Arkansas,0,479,0
05035030804,Census Tract 308.04; Crittenden County; Arkansas,140,1378,10.159651669085632
05035030805,Census Tract 308.05; Crittenden County; Arkansas,178,809,22.00247218788628
05035030806,Census Tract 308.06; Crittenden County; Arkansas,97,1272,7.6257861635220126
05035030807,Census Tract 308.07; Crittenden County; Arkansas,100,489,20.449897750511248
05035031000,Census Tract 310; Crittenden County; Arkansas,8,271,2.952029520295203
05035031100,Census Tract 311; Crittenden County; Arkansas,282,419,67.30310262529832
05035031200,Census Tract 312; Crittenden County; Arkansas,237,489,48.466257668711656
05037950100,Census Tract 9501; Cross County; Arkansas,41,189,21.693121693121693
05037950200,Census Tract 9502; Cross County; Arkansas,88,560,15.714285714285714
05037950300,Census Tract 9503; Cross County; Arkansas,143,348,41.0919540229885
05037950400,Census Tract 9504; Cross County; Arkansas,1,658,0.1519756838905775
05037950500,Census Tract 9505; Cross County; Arkansas,654,1354,48.301329394387004
05037950600,Census Tract 9506; Cross County; Arkansas,165,944,17.478813559322035
05039970100,Census Tract 9701; Dallas County; Arkansas,11,123,8.94308943089431
05039970200,Census Tract 9702; Dallas County; Arkansas,29,234,12.393162393162394
05039970300,Census Tract 9703; Dallas County; Arkansas,147,768,19.140625
05041950100,Census Tract 9501; Desha County; Arkansas,57,210,27.142857142857142
05041950200,Census Tract 9502; Desha County; Arkansas,346,1063,32.54938852304798
05041950300,Census Tract 9503; Desha County; Arkansas,185,219,84.47488584474885
05041950400,Census Tract 9504; Desha County; Arkansas,522,861,60.62717770034843
05041950500,Census Tract 9505; Desha County; Arkansas,78,437,17.848970251716246
05043490100,Census Tract 4901; Drew County; Arkansas,61,443,13.769751693002258
05043490200,Census Tract 4902; Drew County; Arkansas,68,450,15.11111111111111
05043490300,Census Tract 4903; Drew County; Arkansas,391,874,44.73684210526316
05043490400,Census Tract 4904; Drew County; Arkansas,82,628,13.05732484076433
05043490500,Census Tract 4905; Drew County; Arkansas,481,1273,37.7847604084839
05045030101,Census Tract 301.01; Faulkner County; Arkansas,146,718,20.33426183844011
05045030102,Census Tract 301.02; Faulkner County; Arkansas,61,1851,3.295515937331172
05045030103,Census Tract 301.03; Faulkner County; Arkansas,39,1181,3.302286198137172
05045030104,Census Tract 301.04; Faulkner County; Arkansas,66,1414,4.667609618104668
05045030201,Census Tract 302.01; Faulkner County; Arkansas,71,554,12.815884476534295
05045030202,Census Tract 302.02; Faulkner County; Arkansas,113,565,20
05045030301,Census Tract 303.01; Faulkner County; Arkansas,73,990,7.373737373737374
05045030302,Census Tract 303.02; Faulkner County; Arkansas,111,1641,6.764168190127971
05045030303,Census Tract 303.03; Faulkner County; Arkansas,134,1459,9.184372858122002
05045030401,Census Tract 304.01; Faulkner County; Arkansas,98,662,14.803625377643504
05045030402,Census Tract 304.02; Faulkner County; Arkansas,162,1119,14.47721179624665
05045030403,Census Tract 304.03; Faulkner County; Arkansas,140,691,20.260492040520983
05045030404,Census Tract 304.04; Faulkner County; Arkansas,68,544,12.5
05045030502,Census Tract 305.02; Faulkner County; Arkansas,131,1378,9.506531204644412
05045030503,Census Tract 305.03; Faulkner County; Arkansas,19,1242,1.5297906602254427
05045030504,Census Tract 305.04; Faulkner County; Arkansas,195,2164,9.01109057301294
05045030600,Census Tract 306; Faulkner County; Arkansas,214,1313,16.2985529322163
05045030701,Census Tract 307.01; Faulkner County; Arkansas,101,395,25.569620253164558
05045030702,Census Tract 307.02; Faulkner County; Arkansas,211,796,26.507537688442213
05045030800,Census Tract 308; Faulkner County; Arkansas,154,478,32.21757322175732
05045030900,Census Tract 309; Faulkner County; Arkansas,440,776,56.70103092783505
05045031001,Census Tract 310.01; Faulkner County; Arkansas,280,1150,24.347826086956523
05045031003,Census Tract 310.03; Faulkner County; Arkansas,64,504,12.698412698412698
05045031006,Census Tract 310.06; Faulkner County; Arkansas,41,780,5.256410256410256
05045031007,Census Tract 310.07; Faulkner County; Arkansas,27,621,4.3478260869565215
05045031008,Census Tract 310.08; Faulkner County; Arkansas,32,996,3.21285140562249
05045031101,Census Tract 311.01; Faulkner County; Arkansas,519,1099,47.224749772520475
05045031102,Census Tract 311.02; Faulkner County; Arkansas,491,1120,43.839285714285715
05047950100,Census Tract 9501; Franklin County; Arkansas,229,982,23.319755600814663
05047950201,Census Tract 9502.01; Franklin County; Arkansas,348,737,47.21845318860244
05047950202,Census Tract 9502.02; Franklin County; Arkansas,88,714,12.324929971988796
05047950301,Census Tract 9503.01; Franklin County; Arkansas,142,608,23.355263157894736
05047950302,Census Tract 9503.02; Franklin County; Arkansas,178,810,21.97530864197531
05049550101,Census Tract 5501.01; Fulton County; Arkansas,137,821,16.68696711327649
05049550102,Census Tract 5501.02; Fulton County; Arkansas,44,402,10.945273631840797
05049550201,Census Tract 5502.01; Fulton County; Arkansas,170,464,36.63793103448276
05049550202,Census Tract 5502.02; Fulton County; Arkansas,43,809,5.315203955500618
05051010301,Census Tract 103.01; Garland County; Arkansas,144,510,28.235294117647058
05051010302,Census Tract 103.02; Garland County; Arkansas,63,389,16.195372750642672
05051010401,Census Tract 104.01; Garland County; Arkansas,271,572,47.37762237762238
05051010402,Census Tract 104.02; Garland County; Arkansas,91,681,13.362701908957415
05051010501,Census Tract 105.01; Garland County; Arkansas,224,1118,20.03577817531306
05051010502,Census Tract 105.02; Garland County; Arkansas,10,595,1.680672268907563
05051010601,Census Tract 106.01; Garland County; Arkansas,61,271,22.509225092250922
05051010602,Census Tract 106.02; Garland County; Arkansas,224,632,35.44303797468354
05051010700,Census Tract 107; Garland County; Arkansas,168,284,59.15492957746479
05051010800,Census Tract 108; Garland County; Arkansas,165,321,51.401869158878505
05051010900,Census Tract 109; Garland County; Arkansas,248,609,40.722495894909684
05051011001,Census Tract 110.01; Garland County; Arkansas,274,857,31.971995332555426
05051011002,Census Tract 110.02; Garland County; Arkansas,67,286,23.426573426573427
05051011101,Census Tract 111.01; Garland County; Arkansas,162,1087,14.903403863845446
05051011102,Census Tract 111.02; Garland County; Arkansas,126,1008,12.5
05051011201,Census Tract 112.01; Garland County; Arkansas,218,1725,12.63768115942029
05051011202,Census Tract 112.02; Garland County; Arkansas,118,876,13.470319634703197
05051011300,Census Tract 113; Garland County; Arkansas,531,1128,47.07446808510638
05051011400,Census Tract 114; Garland County; Arkansas,224,762,29.396325459317584
05051011500,Census Tract 115; Garland County; Arkansas,166,478,34.72803347280335
05051011601,Census Tract 116.01; Garland County; Arkansas,38,1098,3.4608378870673953
05051011602,Census Tract 116.02; Garland County; Arkansas,0,1255,0
05051011701,Census Tract 117.01; Garland County; Arkansas,29,292,9.931506849315069
05051011702,Census Tract 117.02; Garland County; Arkansas,164,275,59.63636363636363
05051011801,Census Tract 118.01; Garland County; Arkansas,12,167,7.18562874251497
05051011802,Census Tract 118.02; Garland County; Arkansas,108,136,79.41176470588235
05051011901,Census Tract 119.01; Garland County; Arkansas,278,944,29.449152542372882
05051011902,Census Tract 119.02; Garland County; Arkansas,0,372,0
05051012001,Census Tract 120.01; Garland County; Arkansas,68,498,13.654618473895582
05051012002,Census Tract 120.02; Garland County; Arkansas,153,399,38.34586466165413
05053470100,Census Tract 4701; Grant County; Arkansas,97,900,10.777777777777779
05053470200,Census Tract 4702; Grant County; Arkansas,69,626,11.022364217252397
05053470300,Census Tract 4703; Grant County; Arkansas,230,844,27.251184834123222
05053470401,Census Tract 4704.01; Grant County; Arkansas,81,930,8.709677419354838
05053470402,Census Tract 4704.02; Grant County; Arkansas,60,509,11.787819253438114
05055480100,Census Tract 4801; Greene County; Arkansas,148,764,19.3717277486911
05055480200,Census Tract 4802; Greene County; Arkansas,197,1050,18.761904761904763
05055480300,Census Tract 4803; Greene County; Arkansas,73,696,10.488505747126437
05055480401,Census Tract 4804.01; Greene County; Arkansas,57,995,5.728643216080402
05055480402,Census Tract 4804.02; Greene County; Arkansas,125,704,17.755681818181817
05055480501,Census Tract 4805.01; Greene County; Arkansas,1077,1406,76.60028449502134
05055480502,Census Tract 4805.02; Greene County; Arkansas,119,526,22.623574144486692
05055480601,Census Tract 4806.01; Greene County; Arkansas,88,570,15.43859649122807
05055480602,Census Tract 4806.02; Greene County; Arkansas,250,1234,20.25931928687196
05055480700,Census Tract 4807; Greene County; Arkansas,313,525,59.61904761904762
05055480801,Census Tract 4808.01; Greene County; Arkansas,0,1005,0
05055480802,Census Tract 4808.02; Greene County; Arkansas,0,1110,0
05057480101,Census Tract 4801.01; Hempstead County; Arkansas,337,793,42.4968474148802
05057480102,Census Tract 4801.02; Hempstead County; Arkansas,100,618,16.181229773462782
05057480200,Census Tract 4802; Hempstead County; Arkansas,8,360,2.2222222222222223
05057480301,Census Tract 4803.01; Hempstead County; Arkansas,124,329,37.68996960486322
05057480302,Census Tract 4803.02; Hempstead County; Arkansas,204,1125,18.133333333333333
05057480400,Census Tract 4804; Hempstead County; Arkansas,166,875,18.97142857142857
05057480500,Census Tract 4805; Hempstead County; Arkansas,249,889,28.00899887514061
05059020101,Census Tract 201.01; Hot Spring County; Arkansas,180,583,30.874785591766724
05059020102,Census Tract 201.02; Hot Spring County; Arkansas,369,1181,31.244707874682472
05059020200,Census Tract 202; Hot Spring County; Arkansas,174,604,28.807947019867548
05059020300,Census Tract 203; Hot Spring County; Arkansas,171,541,31.608133086876155
05059020400,Census Tract 204; Hot Spring County; Arkansas,265,1333,19.879969992498125
05059020500,Census Tract 205; Hot Spring County; Arkansas,9,554,1.6245487364620939
05059020600,Census Tract 206; Hot Spring County; Arkansas,184,588,31.292517006802722
05059020701,Census Tract 207.01; Hot Spring County; Arkansas,31,448,6.919642857142857
05059020702,Census Tract 207.02; Hot Spring County; Arkansas,80,667,11.994002998500749
05061950100,Census Tract 9501; Howard County; Arkansas,245,896,27.34375
05061950200,Census Tract 9502; Howard County; Arkansas,269,1280,21.015625
05061950300,Census Tract 9503; Howard County; Arkansas,293,1114,26.3016157989228
05063490101,Census Tract 4901.01; Independence County; Arkansas,49,320,15.3125
05063490102,Census Tract 4901.02; Independence County; Arkansas,144,784,18.367346938775512
05063490200,Census Tract 4902; Independence County; Arkansas,358,708,50.56497175141243
05063490300,Census Tract 4903; Independence County; Arkansas,333,1091,30.522456461961504
05063490400,Census Tract 4904; Independence County; Arkansas,300,902,33.25942350332594
05063490500,Census Tract 4905; Independence County; Arkansas,305,836,36.483253588516746
05063490600,Census Tract 4906; Independence County; Arkansas,320,1035,30.917874396135264
05063490701,Census Tract 4907.01; Independence County; Arkansas,76,1101,6.902815622161671
05063490702,Census Tract 4907.02; Independence County; Arkansas,309,987,31.306990881458965
05063490800,Census Tract 4908; Independence County; Arkansas,437,1294,33.77125193199382
05065960100,Census Tract 9601; Izard County; Arkansas,205,532,38.53383458646616
05065960200,Census Tract 9602; Izard County; Arkansas,387,1234,31.361426256077795
05065960300,Census Tract 9603; Izard County; Arkansas,44,273,16.117216117216117
05065960400,Census Tract 9604; Izard County; Arkansas,31,416,7.451923076923077
05067480100,Census Tract 4801; Jackson County; Arkansas,270,628,42.99363057324841
05067480200,Census Tract 4802; Jackson County; Arkansas,90,847,10.625737898465172
05067480300,Census Tract 4803; Jackson County; Arkansas,533,985,54.111675126903556
05067480401,Census Tract 4804.01; Jackson County; Arkansas,1,341,0.2932551319648094
05067480402,Census Tract 4804.02; Jackson County; Arkansas,0,3,0
05067480500,Census Tract 4805; Jackson County; Arkansas,116,380,30.526315789473685
05069000102,Census Tract 1.02; Jefferson County; Arkansas,0,0,NA
05069000301,Census Tract 3.01; Jefferson County; Arkansas,56,378,14.814814814814815
05069000302,Census Tract 3.02; Jefferson County; Arkansas,252,1392,18.103448275862068
05069000303,Census Tract 3.03; Jefferson County; Arkansas,292,945,30.8994708994709
05069000502,Census Tract 5.02; Jefferson County; Arkansas,284,525,54.095238095238095
05069000900,Census Tract 9; Jefferson County; Arkansas,334,556,60.07194244604317
05069001000,Census Tract 10; Jefferson County; Arkansas,35,107,32.71028037383178
05069001200,Census Tract 12; Jefferson County; Arkansas,210,301,69.76744186046511
05069001300,Census Tract 13; Jefferson County; Arkansas,159,471,33.75796178343949
05069001401,Census Tract 14.01; Jefferson County; Arkansas,414,605,68.4297520661157
05069001402,Census Tract 14.02; Jefferson County; Arkansas,176,581,30.292598967297764
05069001501,Census Tract 15.01; Jefferson County; Arkansas,157,902,17.405764966740577
05069001502,Census Tract 15.02; Jefferson County; Arkansas,0,647,0
05069001600,Census Tract 16; Jefferson County; Arkansas,358,715,50.069930069930066
05069001700,Census Tract 17; Jefferson County; Arkansas,295,634,46.52996845425867
05069001800,Census Tract 18; Jefferson County; Arkansas,64,567,11.28747795414462
05069001901,Census Tract 19.01; Jefferson County; Arkansas,88,183,48.08743169398907
05069001903,Census Tract 19.03; Jefferson County; Arkansas,259,459,56.42701525054466
